Frame	X1	Y1	Flag1
Tracks 1 to 1
1	 	 	 
2	 	 	 
3	 	 	 
4	0.0094128065	0.011630888	 
5	0.009372446	0.011620359	 
6	0.009227498	0.011507349	 
7	0.009202229	0.011462426	 
8	0.009188191	0.011448387	 
9	0.009119403	0.011458214	 
10	0.009089922	0.011436104	 
11	0.00903096	0.011415631	 
12	0.008967085	0.01142382	 
13	0.008887602	0.011396362	 
14	0.008860626	0.011366496	 
15	0.0088073965	0.011331692	 
16	0.008702303	0.011317361	 
17	0.008696844	0.011298093	 
18	0.008592023	0.011251848	 
19	0.00855233	0.011217166	 
20	0.008486266	0.011181656	 
21	0.008371326	0.011116728	 
22	0.008352901	0.011104445	 
23	0.008289727	0.011083387	 
24	0.008193935	0.011032187	 
25	0.008137464	0.011040191	 
26	0.008046754	0.011002395	 
27	0.007991616	0.0109859435	 
28	0.007887566	0.010922357	 
29	0.00779838	0.010900887	 
30	0.007730528	0.010880609	 
31	0.007693092	0.01086579	 
32	0.00761588	0.010828062	 
33	0.007542178	0.010815778	 
34	0.0075237523	0.010834204	 
35	0.007400916	0.010852629	 
36	0.007405303	0.010858771	 
37	0.007321072	0.010878425	 
38	0.007290363	0.010895622	 
39	0.0071823387	0.010905015	 
40	0.007101411	0.010916577	 
41	0.007007838	0.010901764	 
42	0.006938913	0.010907906	 
43	0.006849379	0.010865322	 
44	0.0067191715	0.01082192	 
45	0.006644747	0.010806746	 
46	0.0066073253	0.010781189	 
47	0.0065349163	0.01077454	 
48	0.006425728	0.0107277455	 
49	0.0063487217	0.010672577	 
50	0.0062611657	0.010641174	 
51	0.006213903	0.0106032705	 
52	0.006089814	0.010517718	 
53	0.0060551306	0.010471473	 
54	0.005985764	0.010413668	 
55	0.005914591	0.010391992	 
56	0.005902307	0.0103858495	 
57	0.0058273766	0.01034777	 
58	0.0057838573	0.010360405	 
59	0.0056566335	0.010336715	 
60	0.0055637835	0.01032696	 
61	0.005517539	0.0103616435	 
62	0.005380251	0.01035514	 
63	0.0053753373	0.01034777	 
64	0.0053393054	0.010351046	 
65	0.0052967216	0.010342857	 
66	0.0052458527	0.010350082	 
67	0.005175523	0.010342857	 
68	0.0051332843	0.010336392	 
69	0.0050955587	0.010321179	 
70	0.0050246706	0.010263982	 
71	0.004974167	0.010246032	 
72	0.004969625	0.010262135	 
73	0.004858877	0.010181804	 
74	0.004802918	0.010127892	 
75	0.004766067	0.010091041	 
76	0.0047046486	0.010048049	 
77	0.004609992	0.01001481	 
78	0.0045406255	0.009962785	 
79	0.0044365753	0.00990498	 
80	0.004422124	0.009905557	 
81	0.004349867	0.009899199	 
82	0.004263801	0.009876077	 
83	0.0041867946	0.009845044	 
84	0.0041218563	0.009832402	 
85	0.004031632	0.009746775	 
86	0.0039908304	0.009717754	 
87	0.0039143986	0.00966316	 
88	0.0038527392	0.009569707	 
89	0.0038215886	0.009521215	 
90	0.00380794	0.00945229	 
91	0.0037768213	0.0094109345	 
92	0.0037649472	0.009311028	 
93	0.0037429088	0.009240216	 
